,rank,trial,l_1 ratio,score,silhouete score,rmse
153,12,3,0.2,0.7873365492259323,0.7222864803145672,0.22560697831506957
154,12,4,0.2,0.8095606240873503,0.6766239393651732,0.22789335091970106
155,16,0,0.2,0.7817784530940001,0.3431744272051374,0.1715524527224457
156,16,1,0.2,0.7725039776503546,0.47556374336864393,0.19061160903156232
157,16,2,0.2,0.7950212653942753,0.36552922117328374,0.21204032746714627
158,16,3,0.2,0.7816991865534826,0.3978270630692386,0.13056396915420068
159,16,4,0.2,0.7680320216437587,0.55088388542797,0.1600266870281847
160,21,0,0.2,0.7621552863290195,0.2027760732136665,0.16612492882746763
161,21,1,0.2,0.7656241727793129,0.3248278107542229,0.10529204405120349
162,21,2,0.2,0.7834944641307551,0.1803903696622324,0.13316098539254653
163,21,3,0.2,0.7657596938428604,0.3013805602473889,0.09218996274900738
164,21,4,0.2,0.7533300606964833,0.13204248858690432,0.2159419847437906
165,28,0,0.2,0.7594825101433031,0.26235896364741657,0.08636058383789318
166,28,1,0.2,0.752010952050299,-0.05747441391280998,0.10766361763280248
167,28,2,0.2,0.7629023106977174,0.04444597654710409,0.08562716342642669
168,28,3,0.2,0.7498186372922943,-0.08164515598460381,0.08881614696718651
169,28,4,0.2,0.7481922123423065,0.2009898790546583,0.08939068299685195
170,37,0,0.2,0.743491377501311,0.009464476379981773,0.08403365276971686
171,37,1,0.2,0.7420636879623991,-0.0290170817951848,0.07427970337502118
172,37,2,0.2,0.7269108980878396,-0.08928183278023272,0.08950976090597552
173,37,3,0.2,0.7452536360320372,-0.045335999374566394,0.0798526795572339
174,37,4,0.2,0.7394995364355111,-0.05732587005032785,0.07376498838676504
175,49,0,0.2,0.7404254891824137,-0.06828143083809897,0.03754276654201458
176,49,1,0.2,0.7442042016901427,-0.1511207429865291,0.0444564409199778
177,49,2,0.2,0.743595957847359,-0.034623878961365255,0.03145406170117385
178,49,3,0.2,0.7338890317160869,-0.045082288763757604,0.03728167131695531
179,49,4,0.2,0.7511974296065774,-0.23850340997664624,0.07196765437862629
180,2,0,0.5,0.6117726457675281,0.5092671714995433,1.3714734863988054
181,2,1,0.5,0.6005989086392752,0.503686085436175,1.376197815684677
